"","7H:501447228","7H:501448101","7H:501488408","7H:501592821","7H:501593499","7H:501595182","7H:501888345","7H:501888539","7H:502007427","7H:502395608","7H:502416586","7H:502429280","7H:502432758","7H:502432803","7H:502432958","7H:502433203","7H:502434215","7H:502434766","7H:502434859","7H:502564737","7H:502607641","7H:502609101","7H:502609286","7H:502610429","7H:502610579","7H:502612772","7H:502673873","7H:503025650","7H:503026719","7H:503348881"
"7H:502432803",0.123677940909395,0.0101588487342843,0.000306372549019608,0.287662500897795,0.52507744354773,0.00167053959110646,0.0691704910990266,0.0670956367165659,0.405094824815172,0.281275522886261,0.303453947368421,1,1,1,0.253810975609756,0.62621359223301,1,0.838235294117647,0.273584905660377,0.9140625,1,1,0.331335616438356,0.981907894736842,0.331335616438356,0.336206896551724,0.981907894736842,0.277689873417722,0.981907894736842,0.223223313021891
"7H:502432958",0.18637855821289,0.107322676725104,0.00769223312264919,0.290550261228167,0.113255609948477,0.00750415562595358,0.0357738408260207,0.0335768223798077,0.130810565133895,0.273268895956734,0.293645843587725,0.253810975609756,0.253810975609756,0.253810975609756,1,0.405310550198525,0.253810975609756,0.302792041078306,0.927722876366695,0.277673545966229,0.253810975609756,0.253810975609756,0.74024704488325,0.258487559749969,0.74024704488325,0.729347967363106,0.241909687359417,0.556762809309892,0.241909687359417,0.513376378921981
"7H:502433203",0.00394917568743797,0.0476971482285901,0.0164362058889937,0.433700210810135,0.346076731646139,0.0128660440665271,0.00490348629153615,0.00648747984475663,0.285057235537659,0.444062920301932,0.463776365327794,0.62621359223301,0.62621359223301,0.62621359223301,0.405310550198525,1,0.62621359223301,0.747061829330608,0.436887523767734,0.685088374408763,0.62621359223301,0.62621359223301,0.529109589041096,0.63775186612675,0.529109589041096,0.536888532477947,0.611200920438009,0.443442743597292,0.611200920438009,0.384095140311295
"7H:502434215",0.123677940909395,0.0101588487342843,0.000306372549019608,0.287662500897795,0.52507744354773,0.00167053959110646,0.0691704910990266,0.0670956367165659,0.405094824815172,0.281275522886261,0.303453947368421,1,1,1,0.253810975609756,0.62621359223301,1,0.838235294117647,0.273584905660377,0.9140625,1,1,0.331335616438356,0.981907894736842,0.331335616438356,0.336206896551724,0.981907894736842,0.277689873417722,0.981907894736842,0.223223313021891
"7H:502434766",0.0554768656795259,0.00613648752646817,0.00291385904206884,0.368435395115417,0.415788943681114,0.00459020835262787,0.017952262442316,0.0166724542077955,0.294984772233683,0.340453713570675,0.362015235457064,0.838235294117647,0.838235294117647,0.838235294117647,0.302792041078306,0.747061829330608,0.838235294117647,1,0.326381992717643,0.758635488608399,0.838235294117647,0.838235294117647,0.395277577505407,0.821474264757059,0.395277577505407,0.401088929219601,0.821474264757059,0.331279147235177,0.821474264757059,0.275139947722666
"7H:502434859",0.150692357514536,0.108486211649239,0.00933230318802863,0.322242451524093,0.129156216176624,0.00769937286356013,0.0417190118398394,0.0392649132683899,0.142409131490731,0.312900379583821,0.318628411046977,0.273584905660377,0.273584905660377,0.273584905660377,0.927722876366695,0.436887523767734,0.273584905660377,0.326381992717643,1,0.299306563457507,0.273584905660377,0.273584905660377,0.772944340130451,0.278625833570368,0.772944340130451,0.787348627748085,0.261514432330127,0.614779082322299,0.261514432330127,0.557274435143538
"7H:502564737",0.0854102836151986,0.0131732449768194,0.00199142156862745,0.326910991220946,0.466923551147231,0.0029709904112601,0.0808829159503412,0.0785533842469627,0.447482413520263,0.310101873021336,0.331983805668016,0.9140625,0.9140625,0.9140625,0.277673545966229,0.685088374408763,0.9140625,0.758635488608399,0.299306563457507,1,0.9140625,0.9140625,0.362486828240253,0.896677317932442,0.362486828240253,0.367816091954023,0.896677317932442,0.30379746835443,0.896677317932442,0.248499557314723
"7H:502607641",0.123677940909395,0.0101588487342843,0.000306372549019608,0.287662500897795,0.52507744354773,0.00167053959110646,0.0691704910990266,0.0670956367165659,0.405094824815172,0.281275522886261,0.303453947368421,1,1,1,0.253810975609756,0.62621359223301,1,0.838235294117647,0.273584905660377,0.9140625,1,1,0.331335616438356,0.981907894736842,0.331335616438356,0.336206896551724,0.981907894736842,0.277689873417722,0.981907894736842,0.223223313021891
"7H:502609101",0.123677940909395,0.0101588487342843,0.000306372549019608,0.287662500897795,0.52507744354773,0.00167053959110646,0.0691704910990266,0.0670956367165659,0.405094824815172,0.281275522886261,0.303453947368421,1,1,1,0.253810975609756,0.62621359223301,1,0.838235294117647,0.273584905660377,0.9140625,1,1,0.331335616438356,0.981907894736842,0.331335616438356,0.336206896551724,0.981907894736842,0.277689873417722,0.981907894736842,0.223223313021891
"7H:502609286",0.0885807770979453,0.140103575761835,0.00126843505799899,0.360442464044211,0.127741175147956,0.0175397657650628,0.0129740738878523,0.0114092362329265,0.237524536812464,0.450493110774246,0.480540273285565,0.331335616438356,0.331335616438356,0.331335616438356,0.74024704488325,0.529109589041096,0.331335616438356,0.395277577505407,0.772944340130451,0.362486828240253,0.331335616438356,0.331335616438356,1,0.337440627796517,1,0.985511064278188,0.318775854900891,0.811325050279849,0.318775854900891,0.755624730163955
"7H:502610429",0.115294221379693,0.00637920599457258,0.00052944676945097,0.277767571028574,0.512819342655536,0.00190401749153605,0.0622880943387823,0.0693276206415232,0.392621268948293,0.26970679328925,0.291129660333512,0.981907894736842,0.981907894736842,0.981907894736842,0.258487559749969,0.63775186612675,0.981907894736842,0.821474264757059,0.278625833570368,0.896677317932442,0.981907894736842,0.981907894736842,0.337440627796517,1,0.337440627796517,0.342401663489863,0.963964581499628,0.282806437249539,0.963964581499628,0.228174059908637
"7H:502610579",0.0885807770979453,0.140103575761835,0.00126843505799899,0.360442464044211,0.127741175147956,0.0175397657650628,0.0129740738878523,0.0114092362329265,0.237524536812464,0.450493110774246,0.480540273285565,0.331335616438356,0.331335616438356,0.331335616438356,0.74024704488325,0.529109589041096,0.331335616438356,0.395277577505407,0.772944340130451,0.362486828240253,0.331335616438356,0.331335616438356,1,0.337440627796517,1,0.985511064278188,0.318775854900891,0.811325050279849,0.318775854900891,0.755624730163955
"7H:502612772",0.0873280355448163,0.134256994587436,0.00164807302231237,0.367812162612444,0.131197565052904,0.0152640565583845,0.0122626620867418,0.0107291394970932,0.229442331352683,0.460801226596182,0.471095322167099,0.336206896551724,0.336206896551724,0.336206896551724,0.729347967363106,0.536888532477947,0.336206896551724,0.401088929219601,0.787348627748085,0.367816091954023,0.336206896551724,0.336206896551724,0.985511064278188,0.342401663489863,0.985511064278188,1,0.323606111669614,0.825949367088607,0.323606111669614,0.756661039565109
"7H:502673873",0.127081144167259,0.010736077875453,0.00052944676945097,0.277767571028574,0.512819342655536,0.00190401749153605,0.071452478349474,0.0693276206415232,0.392621268948293,0.26970679328925,0.291129660333512,0.981907894736842,0.981907894736842,0.981907894736842,0.241909687359417,0.611200920438009,0.981907894736842,0.821474264757059,0.261514432330127,0.896677317932442,0.981907894736842,0.981907894736842,0.318775854900891,0.963964581499628,0.318775854900891,0.323606111669614,1,0.282806437249539,1,0.228174059908637
"7H:503025650",0.167052566398185,0.110175426666806,7.79604279231978e-05,0.279743730313637,0.090430979117746,0.00815358141876123,0.0580634780919912,0.0551965960775402,0.331735664760782,0.575531310834174,0.584164794984614,0.277689873417722,0.277689873417722,0.277689873417722,0.556762809309892,0.443442743597292,0.277689873417722,0.331279147235177,0.614779082322299,0.30379746835443,0.277689873417722,0.277689873417722,0.811325050279849,0.282806437249539,0.811325050279849,0.825949367088607,0.282806437249539,1,0.282806437249539,0.926358107667124
"7H:503026719",0.127081144167259,0.010736077875453,0.00052944676945097,0.277767571028574,0.512819342655536,0.00190401749153605,0.071452478349474,0.0693276206415232,0.392621268948293,0.26970679328925,0.291129660333512,0.981907894736842,0.981907894736842,0.981907894736842,0.241909687359417,0.611200920438009,0.981907894736842,0.821474264757059,0.261514432330127,0.896677317932442,0.981907894736842,0.981907894736842,0.318775854900891,0.963964581499628,0.318775854900891,0.323606111669614,1,0.282806437249539,1,0.228174059908637
"7H:503348881",0.133697737263918,0.0670148570005537,1.43374885499223e-05,0.297367566056682,0.0982352615377585,0.000102961652098337,0.037295774705439,0.0348879140137594,0.292587262341292,0.518464126513864,0.537934543473468,0.223223313021891,0.223223313021891,0.223223313021891,0.513376378921981,0.384095140311295,0.223223313021891,0.275139947722666,0.557274435143538,0.248499557314723,0.223223313021891,0.223223313021891,0.755624730163955,0.228174059908637,0.755624730163955,0.756661039565109,0.228174059908637,0.926358107667124,0.228174059908637,1
