"","7H:500749700","7H:500751207","7H:500831343","7H:500832046","7H:500832834","7H:500956884","7H:500959217","7H:501035530","7H:501169699","7H:501447228","7H:501448101","7H:501488408","7H:501592821","7H:501593499","7H:501595182","7H:501888345","7H:501888539","7H:502007427","7H:502395608","7H:502416586","7H:502429280","7H:502432758","7H:502432803","7H:502432958","7H:502433203","7H:502434215","7H:502434766","7H:502434859","7H:502564737"
"7H:501592821",0.0809348877401616,0.0958941411768825,0.0394441529472201,0.00577288807484118,0.141981744848869,0.0394441529472201,0.0394656513077566,0.0820567371024715,0.0146616974921276,0.0146616974921276,0.0871331777210648,0.00091258222746112,1,0.44676535653673,0.0009996554046818,0.0025134159919514,0.00187977340848332,0.426510779785214,0.553893432552279,0.52798866452542,0.287662500897795,0.287662500897795,0.287662500897795,0.290550261228167,0.433700210810135,0.287662500897795,0.368435395115417,0.322242451524093,0.326910991220946
"7H:501593499",0.0202703649953631,0.0249192790707595,0.275427026128593,0.0907120786304912,0.140365029746899,0.275427026128593,0.146136618141097,0.156949699016167,0.224719369512251,0.224719369512251,0.07337933446012,7.19289916993947e-06,0.44676535653673,1,0.0601138340350325,0.202842859636533,0.199367079018409,0.424633247959254,0.26595897415977,0.251864772190603,0.52507744354773,0.52507744354773,0.52507744354773,0.113255609948477,0.346076731646139,0.52507744354773,0.415788943681114,0.129156216176624,0.466923551147231
"7H:501595182",0.0828832601497844,0.0742713708304358,0.0223842992421758,0.119944787145535,0.0208351882317284,0.0223842992421758,0.039729486706883,0.0559834928671944,0.0330006380176896,0.0330006380176896,0.249662645774652,0.00512977986900724,0.0009996554046818,0.0601138340350325,1,0.292697986176546,0.297820396439815,0.0385514865976415,0.0128314193825009,0.0137147856153667,0.00167053959110646,0.00167053959110646,0.00167053959110646,0.00750415562595358,0.0128660440665271,0.00167053959110646,0.00459020835262787,0.00769937286356013,0.0029709904112601
"7H:501888345",0.262540616713244,0.234724617367729,0.352427922576501,0.275277114151986,0.10865182260285,0.352427922576501,0.166213084025564,0.26490549572161,0.44571623862556,0.44571623862556,0.358607822346485,0.000149772290646998,0.0025134159919514,0.202842859636533,0.292697986176546,1,0.984616163583748,0.000606917273103997,0.0711193437108848,0.0765251996244474,0.0691704910990266,0.0691704910990266,0.0691704910990266,0.0357738408260207,0.00490348629153615,0.0691704910990266,0.017952262442316,0.0417190118398394,0.0808829159503412
"7H:501888539",0.268427564234783,0.240332512579291,0.343662429396081,0.28158849308677,0.100047367866078,0.343662429396081,0.155966394766547,0.254364318725356,0.434866910693785,0.434866910693785,0.337348963504912,4.65420209290158e-05,0.00187977340848332,0.199367079018409,0.297820396439815,0.984616163583748,1,0.000310301333525375,0.0763106101256779,0.0820364569975031,0.0670956367165659,0.0670956367165659,0.0670956367165659,0.0335768223798077,0.00648747984475663,0.0670956367165659,0.0166724542077955,0.0392649132683899,0.0785533842469627
"7H:502007427",0.00632594133176051,0.0116810682491238,0.0202357697569197,0.00481944839292043,0.0211328425913654,0.0202357697569197,0.000152261076993351,0.000352906321525252,0.00476625076651911,0.00476625076651911,0.00374627533583073,0.000226898859833229,0.426510779785214,0.424633247959254,0.0385514865976415,0.000606917273103997,0.000310301333525375,1,0.650389071330459,0.645252837977296,0.405094824815172,0.405094824815172,0.405094824815172,0.130810565133895,0.285057235537659,0.405094824815172,0.294984772233683,0.142409131490731,0.447482413520263
"7H:502395608",0.201644708844431,0.216152319153934,0.00600944060281783,0.0784125262530432,0.00652323004437417,0.00600944060281783,0.00412851666825527,0.00410339557869274,0.0332971049945125,0.0332971049945125,0.111699500818689,0.000690880378997236,0.553893432552279,0.26595897415977,0.0128314193825009,0.0711193437108848,0.0763106101256779,0.650389071330459,1,0.956923558897243,0.281275522886261,0.281275522886261,0.281275522886261,0.273268895956734,0.444062920301932,0.281275522886261,0.340453713570675,0.312900379583821,0.310101873021336
"7H:502416586",0.200924352417093,0.214921661455724,0.00790510734334301,0.0772571138735254,0.00573218404550128,0.00790510734334301,0.00355128031889737,0.00431616549638863,0.0356593461799237,0.0356593461799237,0.113469752048479,0.0017131692214755,0.52798866452542,0.251864772190603,0.0137147856153667,0.0765251996244474,0.0820364569975031,0.645252837977296,0.956923558897243,1,0.303453947368421,0.303453947368421,0.303453947368421,0.293645843587725,0.463776365327794,0.303453947368421,0.362015235457064,0.318628411046977,0.331983805668016
"7H:502429280",0.0593181818181818,0.0651358597421376,0.159422560023246,0.0413197845249755,0.0780046652843602,0.159422560023246,0.0822368421052631,0.0773510709504685,0.123677940909395,0.123677940909395,0.0101588487342843,0.000306372549019608,0.287662500897795,0.52507744354773,0.00167053959110646,0.0691704910990266,0.0670956367165659,0.405094824815172,0.281275522886261,0.303453947368421,1,1,1,0.253810975609756,0.62621359223301,1,0.838235294117647,0.273584905660377,0.9140625
"7H:502432758",0.0593181818181818,0.0651358597421376,0.159422560023246,0.0413197845249755,0.0780046652843602,0.159422560023246,0.0822368421052631,0.0773510709504685,0.123677940909395,0.123677940909395,0.0101588487342843,0.000306372549019608,0.287662500897795,0.52507744354773,0.00167053959110646,0.0691704910990266,0.0670956367165659,0.405094824815172,0.281275522886261,0.303453947368421,1,1,1,0.253810975609756,0.62621359223301,1,0.838235294117647,0.273584905660377,0.9140625
"7H:502432803",0.0593181818181818,0.0651358597421376,0.159422560023246,0.0413197845249755,0.0780046652843602,0.159422560023246,0.0822368421052631,0.0773510709504685,0.123677940909395,0.123677940909395,0.0101588487342843,0.000306372549019608,0.287662500897795,0.52507744354773,0.00167053959110646,0.0691704910990266,0.0670956367165659,0.405094824815172,0.281275522886261,0.303453947368421,1,1,1,0.253810975609756,0.62621359223301,1,0.838235294117647,0.273584905660377,0.9140625
"7H:502432958",0.0781184896954451,0.087679659224791,0.0999557620992571,0.0551495726633683,0.0506610352875416,0.0999557620992571,0.0560321232657561,0.109573111717359,0.18637855821289,0.18637855821289,0.107322676725104,0.00769223312264919,0.290550261228167,0.113255609948477,0.00750415562595358,0.0357738408260207,0.0335768223798077,0.130810565133895,0.273268895956734,0.293645843587725,0.253810975609756,0.253810975609756,0.253810975609756,1,0.405310550198525,0.253810975609756,0.302792041078306,0.927722876366695,0.277673545966229
"7H:502433203",0.00750908269874176,0.0143263818846041,0.0175964861351844,0.00461503836016248,0.0617002068711284,0.0175964861351844,0.0865131331376533,0.0609736055590617,0.00394917568743797,0.00394917568743797,0.0476971482285901,0.0164362058889937,0.433700210810135,0.346076731646139,0.0128660440665271,0.00490348629153615,0.00648747984475663,0.285057235537659,0.444062920301932,0.463776365327794,0.62621359223301,0.62621359223301,0.62621359223301,0.405310550198525,1,0.62621359223301,0.747061829330608,0.436887523767734,0.685088374408763
"7H:502434215",0.0593181818181818,0.0651358597421376,0.159422560023246,0.0413197845249755,0.0780046652843602,0.159422560023246,0.0822368421052631,0.0773510709504685,0.123677940909395,0.123677940909395,0.0101588487342843,0.000306372549019608,0.287662500897795,0.52507744354773,0.00167053959110646,0.0691704910990266,0.0670956367165659,0.405094824815172,0.281275522886261,0.303453947368421,1,1,1,0.253810975609756,0.62621359223301,1,0.838235294117647,0.273584905660377,0.9140625
"7H:502434766",0.0091905173222564,0.0125353919448437,0.0848474160228948,0.00421880448658664,0.0863663375053189,0.0848474160228948,0.0913041116723698,0.0915854789125543,0.0554768656795259,0.0554768656795259,0.00613648752646817,0.00291385904206884,0.368435395115417,0.415788943681114,0.00459020835262787,0.017952262442316,0.0166724542077955,0.294984772233683,0.340453713570675,0.362015235457064,0.838235294117647,0.838235294117647,0.838235294117647,0.302792041078306,0.747061829330608,0.838235294117647,1,0.326381992717643,0.758635488608399
"7H:502434859",0.0822318727172563,0.0924609924225916,0.0730845741833297,0.0594068064465356,0.0303411429666438,0.0730845741833297,0.0349283939625685,0.0834645817329174,0.150692357514536,0.150692357514536,0.108486211649239,0.00933230318802863,0.322242451524093,0.129156216176624,0.00769937286356013,0.0417190118398394,0.0392649132683899,0.142409131490731,0.312900379583821,0.318628411046977,0.273584905660377,0.273584905660377,0.273584905660377,0.927722876366695,0.436887523767734,0.273584905660377,0.326381992717643,1,0.299306563457507
"7H:502564737",0.0477465637810465,0.029660663471966,0.118301606859959,0.048580325975037,0.0404742374529105,0.118301606859959,0.0708642600089968,0.0608688761456081,0.0854102836151986,0.0854102836151986,0.0131732449768194,0.00199142156862745,0.326910991220946,0.466923551147231,0.0029709904112601,0.0808829159503412,0.0785533842469627,0.447482413520263,0.310101873021336,0.331983805668016,0.9140625,0.9140625,0.9140625,0.277673545966229,0.685088374408763,0.9140625,0.758635488608399,0.299306563457507,1
